0,number_of_schools
503 LAFAYETTE AVENUE,20
503 WEST 148 STREET,12
503 WEST 150 STREET,13
504 WEST 172 STREET,20
504 WEST 22 STREET,19
505 CONCORD AVENUE,20
505 COURT STREET,12
505 EAST 14 STREET,20
505 GREENWICH STREET,18
505 THROOP AVENUE,20
505 WEST 37 STREET,20
505 WEST 47 STREET,20
505 WEST 54 STREET,20
505 WEST 57 STREET,20
506 EAST 119 STREET,18
506 EAST 13 STREET,20
506 EAST 6 STREET,20
506 ONDERDONK AVENUE,12
506 PRESIDENT STREET,12
506 WASHINGTON AVENUE,17
507 GRAND STREET,20
507 THROOP AVENUE,20
507 WEST 170 STREET,20
508 HENRY STREET,17
508 SENECA AVENUE,12
509 CATHEDRAL PARKWAY,20
509 EAST 12 STREET,20
509 EAST 6 STREET,20
509 EAST 77 STREET,20
51 5TH AVENUE,20
51 DEVOE STREET,20
51 JAY STREET,12
51 KOSCIUSZKO STREET,20
51 NEWEL STREET,13
51 TROUTMAN STREET,15
51-15 VAN KLEECK STREET,16
51-18 SKILLMAN AVENUE,12
51-26 SKILLMAN AVENUE,12
51-56 48 STREET,2
510 EAST 20 STREET,20
510 EAST 23 STREET,20
510 EAST 46 STREET,4
510 EAST 5 STREET,20
510 EAST 80 STREET,20
510 EAST 85 STREET,20
510 FAIRVIEW AVENUE,13
510 WEST 123 STREET,20
510-580 MAIN STREET,6
511 CLINTON STREET,12
511 EAST 75 STREET,20
511 ROGERS AVENUE,16
511 THROOP AVENUE,20
511 WEST 235 STREET,19
5115 13 AVENUE,15
512 EAST 13 STREET,20
512 WEST 156 STREET,12
5123 3 AVENUE,14
513 EAST 87 STREET,17
513 PARK PLACE,20
514 BROADWAY,20
514 EAST 11 STREET,20
514 EAST 13 STREET,20
514 WEST 110 STREET,20
514 WEST 142 STREET,19
514 WEST 169 STREET,20
515 3 AVENUE,20
515 85 STREET,9
515 88 STREET,14
515 CATHEDRAL PARKWAY,20
515 CLINTON AVENUE,17
515 EAST 6 STREET,20
515 EAST 72 STREET,20
515 MEEKER AVENUE,10
515 WEST 169 STREET,18
515 WEST 38TH STREET,20
516 40 STREET,16
516 EAST 13 STREET,20
516 EAST 82 STREET,20
516 FAIRVIEW AVENUE,14
516 WEST 47 STREET,20
517 80 STREET,8
517 EAST 5 STREET,20
517 EAST 77 STREET,20
517 GRAHAM AVENUE,15
518 BROADWAY,20
518 EAST 6 STREET,20
518 EAST 83 STREET,20
518 LEONARD STREET,11
518 MIDWOOD STREET,20
518 WEST 136 STREET,20
519 8 STREET,17
519 COLUMBUS AVENUE,20
519 EAST 5 STREET,20
519 EAST 85 STREET,20
519 WEST 135 STREET,20
519 WEST 151 STREET,12
52 3 AVENUE,20
52 BUSHWICK AVENUE,20
52 GROVE STREET,20
52 MONITOR STREET,10
52 PARK AVENUE,20
52 SPRING STREET,20
52 ST MARKS PLACE,20
52 THOMAS STREET,20
52 WEST 120 STREET,20
52 WEST 14 STREET,20
52 WEST 69 STREET,20
520 2 AVENUE,20
520 BAY RIDGE PARKWAY,14
520 CROWN STREET,20
520 EAST 14 STREET,20
520 EAST 81 STREET,20
520 EAST 85 STREET,20
520 EAST 88 STREET,17
520 WEST 136 STREET,20
520 WEST 143 STREET,18
520 WEST 218 STREET,11
520 WEST 43 STREET,20
5205 5 AVENUE,13
521 18 STREET,13
521 COURT STREET,12
521 EAST 14 STREET,20
521 EAST 88 STREET,17
521 MACON STREET,20
521 WEST 156 STREET,13
521 WEST 23 STREET,18
521B EAST 85 STREET,20
522 85 STREET,9
522 CLASSON AVENUE,20
522 EAST 20 STREET,20
522 LEFFERTS AVENUE,20
522 WEST 134 STREET,20
522 WEST 29 STREET,12
5225 14 AVENUE,20
523 DEAN STREET,20
523 GRAHAM AVENUE,14
523 WEST 141 STREET,20
524 40 STREET,16
524 9 AVENUE,20
524 EAST 72 STREET,20
524 EAST 82 STREET,20
524 EAST 85 STREET,20
524 UNION AVENUE,18
524 WEST 50 STREET,20
525 80 STREET,9
525 CLINTON AVENUE,19
525 EAST 72ND STREET,20
525 EAST 80 STREET,20
525 MANHATTAN AVENUE,20
525 UNION AVENUE,20
525 WEST 133 STREET,20
525 WEST 52 STREET,20
526 EAST 83 STREET,20
526 EAST 85 STREET,20
527 9 AVENUE,20
528 BERGEN STREET,20
528 EAST 20 STREET,20
528 KOSCIUSZKO STREET,20
529 5 STREET,20
529 83 STREET,10
529 9 AVENUE,20
529 PUTNAM AVENUE,20
529 WEST 113 STREET,20
529 WEST 138 STREET,20
529 WEST 141 STREET,20
529 WEST 42 STREET,20
53 BROADWAY,15
53 EAST 51 STREET,20
53 EAST HOUSTON STREET,20
53 HOWARD STREET,20
53 JAVA STREET,4
53 PARK PLACE,20
53 ST NICHOLAS AVENUE,20
53 TEN EYCK STREET,20
53 TROUTMAN STREET,16
53 WEST 76 STREET,20
53-01 32 AVENUE,7
53-07 ROOSEVELT AVENUE,13
530 84 STREET,10
530 EAST 13 STREET,20
530 EAST 23 STREET,20
530 EAST 76 STREET,20
530 EAST 86 STREET,20
530 EAST 89 STREET,18
530 KOSCIUSZKO STREET,20
530 MIDWOOD STREET,20
530 PARK AVENUE,20
530 PARKSIDE AVENUE,13
530 WEST 236 STREET,16
530 WEST 47 STREET,20
530 WEST END AVENUE,20
5308 FLATLANDS AVENUE,5
531 COLUMBUS AVENUE,20
531 EAST 20 STREET,20
531 EAST 22 STREET,10
531 GRAHAM AVENUE,14
531 HUDSON STREET,20
532 6 AVENUE,20
532 EAST 83 STREET,20
532 EAST 85 STREET,20
532 FLATBUSH AVENUE,7
532 LEFFERTS AVENUE,20
532 WEST 111 STREET,20
533 3 STREET,20
533 EAST 81 STREET,20
533 FRANKLIN AVENUE,20
533 OVINGTON AVENUE,7
533 WEST 52 STREET,20
534 9 STREET,17
534 BERGEN STREET,20
534 EAST 6 STREET,20
534 EAST 88 STREET,16
534 PROSPECT AVENUE,9
534 PUTNAM AVENUE,20
534 WEST 178 STREET,17
535 CARLTON AVENUE,19
535 DEAN STREET,20
535 EAST 14 STREET,20
535 UNION AVENUE,20
535 WEST 23 STREET,20
535 WEST 43 STREET,20
535 WEST 51 STREET,20
536 44 STREET,18
536 CENTRAL AVENUE,20
536 EAST 13 STREET,20
536 FT WASHINGTON AVENUE,15
536 HENDRIX STREET,20
537 CHAUNCEY STREET,14
537 UNION AVENUE,20
537 WEST 27TH STREET,13
538 BROOKLYN AVENUE,20
538 CLINTON AVENUE,17
539 3 AVENUE,11
539 EAST 87 STREET,18
54 1 PLACE,20
54 BARROW STREET,20
54 BLEECKER STREET,20
54 BOND STREET,20
54 EAST 4 STREET,20
54 LINCOLN AVENUE,12
54 NORTH MOORE STREET,20
54 TROUTMAN STREET,16
54 WEST 89 STREET,20
54-18 ARNOLD AVENUE,5
54-27 NURGE AVENUE,5
54-53 63 PLACE,4
540 11 STREET,18
540 50 STREET,12
540 EAST 22 STREET,7
540 EAST 6 STREET,20
540 FT WASHINGTON AVENUE,15
540 OCEAN PARKWAY,15
540 WEST 140 STREET,20
540 WEST 28 STREET,11
540 WEST 49 STREET,20
5400 FIELDSTON ROAD,7
5416 3 AVENUE,12
543 CLINTON STREET,12
543 GATES AVENUE,20
543 MARCY AVENUE,20
543 SURF AVENUE,6
544 UNION AVENUE,20
544 WEST 147 STREET,13
544 WEST 158 STREET,12
545 46 STREET,16
545 WEST 111 STREET,20
545 WEST 144 STREET,19
545 WEST 48 STREET,14
546 BROADWAY,20
546 LA GUARDIA PLACE,20
547 EAST 92 STREET,19
547 KOSCIUSZKO STREET,20
548 3 AVENUE,20
55 92 STREET,7
55 EAST 21 STREET,20
55 HOPE STREET,20
55 LEROY STREET,20
55 NORTH 5TH STREET ,19
55 PAYSON AVENUE,9
55 POPLAR STREET,11
55 W MOSHOLU PARKWAY N,10
55 WALL STREET,20
55 WEST 14 STREET,20
55 WEST 25 STREET,20
55 WEST 92 STREET,20
55-27 MYRTLE AVE,14
550 82 STREET,9
550 GRAND STREET,20
550 VANDERBILT AVENUE,15
550 WEST 183 STREET,20
550 WEST 54TH STREET,20
551 18 STREET,9
551 HENRY STREET,19
551 LEONARD STREET,11
551 MADISON STREET,20
551 MORGAN AVENUE,3
551 NOSTRAND AVENUE,20
552 GRANDVIEW AVENUE,10
552 LINCOLN PLACE,20
553 HOWARD AVENUE,19
554 53 STREET,7
554 HART STREET,20
554 HUMBOLDT STREET,10
554 WEST 54 STREET,20
555 DE KALB AVENUE,20
555 GRAHAM AVENUE,11
555 UNION STREET,15
555 WEST 152 STREET,11
555 WEST 23 STREET,17
555 WEST 59 STREET,20
556 GATES AVENUE,20
556 MEEKER AVENUE,6
557 UNION STREET,16
557 WEST 148 STREET,12
557 WILSON AVENUE,19
558 86 STREET,10
558 GATES AVENUE,19
558 WEST 162 STREET,17
559 20 STREET,10
559 5 AVENUE,20
559 80 STREET,10
559 83 STREET,9
559 GRAND STREET,20
559 WEST 164 STREET,16
56 BEAVER STREET,20
56 BUSHWICK AVENUE,20
56 EAST 130 STREET,20
56 EAST 7 STREET,20
56 NORTH 9 STREET,17
56 PINE STREET,20
56 RIVINGTON STREET,20
56 SPRING STREET,20
56 ST MARK'S PLACE,20
56 TERRACE VIEW AVENUE,20
56 WEST 127 STREET,20
56 WEST 85 STREET,20
56-07 30 AVENUE,7
56-11 94 STREET,9
56-14 68 STREET,9
56-36 61 STREET,5
560 LEXINGTON AVENUE,20
560 MAIN STREET,6
560 ROGERS AVENUE,16
560 WEST 162 STREET,17
560 WEST 43 STREET,17
561 BROADWAY,20
561 LENOX AVENUE,20
5610-5650 NETHERLAND AVENUE,9
5618 POST ROAD,6
562 LORIMER STREET,20
562-564 COURT STREET,10
562A LAFAYETTE AVENUE,20
563 CHAUNCEY STREET,15
563 SENECA AVENUE,12
564 GRAND AVENUE,20
564 PACIFIC STREET,20
564-570 ST JOHN'S PLACE,20
5643 MOSHOLU AVENUE,8
565 LEXINGTON AVENUE,20
566 AMSTERDAM AVENUE,20
566 DE KALB AVENUE,20
566 MAPLE STREET,20
566 MORGAN AVENUE,3
566 PARKSIDE AVENUE,12
567 6 STREET,18
567 8 STREET,15
567 FT WASHINGTON AVENUE,14
567 WARREN STREET,20
567 WEST 125 STREET,20
568 DEKALB AVENUE,20
568 LAFAYETTE AVENUE,20
568 MACON STREET,20
568 UNION AVENUE,20
568 WEST 192 STREET,20
569 73 STREET,11
569 CARROLL STREET,20
57 5 AVENUE,20
57 AVENUE O,16
57 BEEKMAN STREET,20
57 BOND STREET,20
57 EAST 7 STREET,20
57 FRONT STREET,9
57 GROVE STREET,20
57 HERBERT STREET,8
57 HERKIMER STREET,17
57 LINCOLN ROAD,8
57 LISPENARD STREET,20
57 ORIENT AVENUE,17
57 READE STREET,20
57 SOUTH 5 STREET,14
57 WEST 105 STREET,20
57 WEST 46 STREET,20
57 WEST 58 STREET,15
57 WEST 75TH STREET,20
57 WEST 85 STREET,20
57 WEST 9 STREET,20
57 WESTMINSTER ROAD,13
57-47 156 STREET,7
57-50 225 STREET,2
57-59 MASPETH AVENUE,15
570 82 STREET,11
570 GRAND STREET,20
570 HUDSON STREET,17
570 LEFFERTS AVENUE,20
570 WEST 183 STREET,20
570 WESTMINSTER ROAD,10
5700 ARLINGTON AVENUE,6
571 76 STREET,13
571 80 STREET,10
571 EAST 19 STREET,11
571 HICKS STREET,14
571 OVINGTON AVENUE,9
571 WEST 139TH STREET,20
5718 FT HAMILTON PARKWAY,11
572 MARLBOROUGH ROAD,8
572 PARK PLACE,20
572 PROSPECT PLACE,20
573 39 STREET,9
573 EAST 22 STREET,10
573 METROPOLITAN AVENUE,20
573 WEST 161 STREET,16
574 77 STREET,10
574 WEST END AVENUE,20
575 GRAND STREET,16
576 HENRY STREET,20
576 ROGERS AVENUE,16
576A MORGAN AVENUE,3
577 2 AVENUE,20
577 BALTIC STREET,20
577 ISHAM STREET,13
577 MORGAN AVENUE,3
5775 MOSHOLU AVENUE,6
578 UNION STREET,16
579 10 STREET,20
579 BROADWAY,20
579 CLASSON AVENUE,20
58 DECATUR STREET,20
58 DOUGLASS STREET,18
58 EAST 130 STREET,20
58 HENRY STREET,20
58 HIMROD STREET,20
58 LINDEN BOULEVARD,20
58 MARBLE HILL AVENUE,20
58 MIDDAGH STREET,14
58 THOMAS STREET,20
58 UNDERHILL AVENUE,20
58 WEST 127 STREET,20
58 WEST 15 STREET,20
58 WEST 58 STREET,16
58-11 61 STREET,6
58-13 WOODSIDE AVENUE,11
58-20 ROOSEVELT AVENUE,11
58-48 CATALPA AVENUE,14
580 84 STREET,8
580 CARROLL STREET,20
580 EAST 26 STREET,16
580 MAIN STREET,6
580 STERLING PLACE,20
580 WEST 215 STREET,13
581 9 AVENUE,20
581 BRADFORD STREET,20
581 OCEAN PARKWAY,14
582 DRIGGS AVENUE,20
582 LAFAYETTE AVENUE,20
583 11 STREET,17
583 LEXINGTON AVENUE,20
583 MEEKER AVENUE,8
584 HENRY STREET,19
584 NEW YORK AVENUE,20
585 6 AVENUE,20
585 EAST 21 STREET,9
585 EVERGREEN AVENUE,15
585 FRANKLIN AVENUE,19
585 OCEAN PARKWAY,13
586 EAST 4 STREET,16
586 EAST 93 STREET,15
587 RIVERSIDE DRIVE,13
587 WEST 177 STREET,17
589 10 STREET,20
589 5 AVENUE,18
589 7 STREET,18
589 DECATUR STREET,16
589 GREENE AVENUE,20
589 HART STREET,19
59 1 AVENUE,20
59 4 AVENUE,20
59 BRUCKNER BOULEVARD,18
59 CHESTER STREET,20
59 GROVE STREET,20
59 HALSEY STREET,19
59 QUINCY STREET,20
59 ST PAUL'S PLACE,15
59 WEST 73 STREET,20
59-11 39 AVENUE,13
59-19 MADISON STREET,11
59-21 CALLOWAY STREET,12
59-23 WOODBINE STREET,12
59-24 67 AVENUE,12
59-33 PUTNAM AVENUE,10
59-34 MADISON STREET,11
590 FLATBUSH AVENUE,8
590 FT WASHINGTON AVENUE,15
590 MONROE STREET,20
591 7 STREET,18
592 UNION AVENUE,20
5926 BLEECKER STREET,9
594 MORRIS AVENUE,20
595 BALTIC STREET,20
595 CENTRAL AVENUE,14
595 KOSCIUSZKO STREET,20
595A 18 STREET,7
596 5 STREET,16
596 EAST 19 STREET,11
596 QUINCY STREET,20
596 UNION AVENUE,20
596 WASHINGTON AVENUE,20
597 10 AVENUE,20
597 CENTRAL AVENUE,14
598 6 STREET,17
598 JEFFERSON AVENUE,20
598 UNION AVENUE,19
599 FRANKLIN AVENUE,20
6 HOPE STREET,20
6 PETER COOPER ROAD,20
6 PIERREPONT STREET,13
6 ST NICHOLAS TERRACE,20
6 STUYVESANT OVAL,20
6 WEST 126TH STREET,20
6 WEST 139 STREET,19
60 BERRY STREET,18
60 BLEECKER STREET,20
60 BOX STREET,4
60 EAST 55 STREET,20
60 EAST 8 STREET,20
60 HARRISON PLACE,9
60 JEFFERSON STREET,18
60 LISPENARD STREET,20
60 RIVERSIDE BOULEVARD,20
60 SHERMAN AVENUE,14
60 WATER STREET,10
60 WEST 13 STREET,20
60 WEST 23 STREET,20
60 WEST 57 STREET,12
60 WEST 66 STREET,20
60 WEST 67TH STREET,20
60-08 77 PLACE,8
60-11 BROADWAY,6
60-15 MYRTLE AVENUE,13
60-15 WOODSIDE AVENUE,12
60-17 71 AVENUE,13
60-18 54 PLACE,3
60-32 CATALPA AVENUE,12
60-40 MADISON STREET,9
60-67 67 AVENUE,8
60-68 PUTNAM AVENUE,10
60-76 71 AVENUE,11
60-80 MYRTLE AVENUE,10
60-84 67 AVENUE,8
600 WASHINGTON STREET,15
600 WEST 218 STREET,16
600 WEST 58TH STREET,20
601 10 AVENUE,20
601 79 STREET,6
601 CATON AVENUE,12
601 LORIMER STREET,20
601 OCEAN AVENUE,9
601 WEST 57 STREET,20
602 39 STREET,8
602 61 STREET,11
603 WEST 148 STREET,11
603 WEST 187 STREET,20
6033A HUXLEY AVENUE,5
604 HENRY STREET,14
604 PARKSIDE AVENUE,16
604 STERLING PLACE,20
604 UNION AVENUE,20
6048 DELAFIELD AVENUE,3
605 6 STREET,16
605 EAST 14 STREET,20
605 WEST 137 STREET,20
606 WEST 57 STREET,20
607 18 STREET,7
607 EAST 11 STREET,20
607 SENECA AVENUE,18
607 WEST 137 STREET,17
608 80 STREET,8
608 CATHEDRAL PARKWAY,20
608 FRANKLIN AVENUE ,20
608 STERLING PLACE,20
609 EAST 11 STREET,20
609 SENECA AVENUE,18
61 4 AVENUE,20
61 CLARKSON AVENUE,17
61 CLINTON STREET,20
61 DRIGGS AVENUE,5
61 EAST 42 STREET,12
61 JANE STREET,20
61 LEXINGTON AVENUE,20
61 MORTON STREET,20
61 PARK PLACE,20
61 SOUTH 3 STREET,14
61 VILLAGE ROAD NORTH,6
61 WEST 70 STREET,20
61-13 MENAHAN STREET,8
61-14 69 LANE,4
61-20 GRAND CENTRAL PARKWAY,5
61-20 WOODSIDE AVENUE,12
61-25 97 STREET,11
61-25 98 STREET,13
61-31 MADISON STREET,10
61-41 PARSONS BOULEVARD,6
61-41 SAUNDERS STREET,7
610 17 STREET,7
610 EAST 20 STREET,20
610 WEST 42 STREET,10
611 EAST 11 STREET,20
611 GRAND STREET,20
611 OCEAN AVENUE,20
611 WEST 111TH STREET,20
611 WEST 135 STREET,16
611 WEST 137TH STREET,11
612 80 STREET,8
612 OCEAN AVENUE,16
613 EAST 16 STREET,6
613 ONDERDONK AVENUE,17
613 WEST 140 STREET,15
614 2 STREET,17
614 80 STREET,8
614 FLATBUSH AVENUE,9
614 ST NICHOLAS AVENUE,20
615 1/2 HUDSON STREET,20
615 EAST 138 STREET,20
615 FT WASHINGTON AVENUE,17
615 HANCOCK STREET,20
615 UNION AVENUE,20
615 WEST 143 STREET,17
615 WEST 172 STREET,19
616 KOSCIUSZKO STREET,20
616 NOSTRAND AVENUE,20
616 WEST 113 STREET,20
617 EAST 11 STREET,20
617 WEST 138 STREET,18
617 WEST 141 STREET,14
618 AMSTERDAM AVENUE,20
618 BUSHWICK AVENUE,20
619 GATES AVENUE,20
619 HALSEY STREET,20
619 NOSTRAND AVENUE,17
619 WEST 135 STREET,18
619 WILLOUGHBY AVENUE,20
62 7 AVENUE,20
62 AVENUE B,20
62 BEACH STREET,20
62 CHEEVER PLACE,14
62 CLERMONT AVENUE,13
62 CONSELYEA STREET,20
62 COOPER SQUARE,20
62 EAST 7 STREET,20
62 MAUJER STREET,20
62 WEST 108 STREET,20
62 WEST 62 STREET,20
62 WEST 69 STREET,20
62 WOOSTER STREET,20
62-03 MYRTLE AVENUE,5
62-24 MYRTLE AVENUE,5
62-65 SAUNDERS STREET,10
620 CRESCENT STREET,7
620 EAST 6 STREET,20
620 WEST END AVENUE,20
621 ALLERTON AVENUE,7
621 AMSTERDAM AVENUE,20
621 EAST 11 STREET,20
621 EAST 77 STREET,12
6215 4 AVENUE,9
622 EAST 20 STREET,20
623 GRAND STREET,20
624 WEST END AVENUE,20
625 CATON AVENUE,13
625 EAST 21 STREET,8
625 MADISON STREET,20
625 WEST 135 STREET,14
625 WEST 57 STREET,20
6255 BROADWAY,5
626 1 AVENUE,15
626 2 STREET,17
626 GREENE AVENUE,20
627 GRAND AVENUE,17
628 BAY RIDGE PARKWAY,9
628 EAST 11 STREET,20
629 72 STREET,11
629 EAST 35 STREET,10
629 GRAND STREET,20
629 WILLOUGHBY AVENUE,20
63 DIVISION AVENUE,17
63 EAST 130 STREET,20
63 EAST 7 STREET,20
63 PULASKI STREET,20
63 WALL STREET,20
63 WEST 107 STREET,20
63 WEST 68 STREET,20
63 WEST 73 STREET,20
63-07 SAUNDERS STREET,11
63-11 QUEENS BOULEVARD,9
63-145 CARLTON STREET,9
63-25 SAUNDERS STREET,13
63-36 99 STREET,18
63-45 SAUNDERS STREET,13
63-48 ALDERTON STREET,9
63-49 75 PLACE,9
63-54 FITCHETT STREET,9
63-55 ELLWELL CRESCENT,6
63-60 102 STREET,14
63-60 98 STREET,15
63-84 SAUNDERS STREET,12
63-89 SAUNDERS STREET,12
63-95 AUSTIN STREET,10
630 1 AVENUE,12
630 BERGEN STREET,16
630 METROPOLITAN AVENUE,20
6309 BAY PARKWAY,11
631 GRAND STREET,20
632 EAST 14 STREET,20
632 GRAND STREET,20
632 PRESIDENT STREET,20
632 WEST END AVENUE,20
633 2 AVENUE,20
633 EAST 40 STREET,6
633 EAST 6 STREET,20
634 CENTRAL AVENUE,14
634 LEONARD STREET,9
635 4 AVENUE,14
635 79 STREET,8
635 LEONARD STREET,9
635 WEST 42ND STREET,9
637 EAST 6 STREET,20
637 HENRY STREET,14
637 LEXINGTON AVENUE,20
639 4 AVENUE,15
639 WEST 204 STREET,19
64 4 PLACE,12
64 BAINBRIDGE STREET,20
64 BAYARD STREET,20
64 CONSELYEA STREET,20
64 DUPONT STREET,2
64 EAST 129 STREET,20
64 MAC DOUGAL STREET,20
64 WEST 85 STREET,20
64-00 SAUNDERS STREET,10
64-02 99 STREET,15
64-05 YELLOWSTONE BLVD,11
64-07 FOREST AVENUE,9
64-07 WOODBINE STREET,6
64-10 ELLWELL CRESCENT,4
64-17 65 STREET,4
64-20 99 STREET,13
64-20 SAUNDERS STREET,13
64-27 MADISON STREET,4
64-35 CENTRAL AVENUE,7
64-38 CATALPA AVENUE,4
64-38 PALMETTO STREET,4
64-41 SAUNDERS STREET,14
64-45 BOOTH STREET,11
64-54 MADISON STREET,3
64-56 BOOTH STREET,13
64-84 WETHEROLE STREET,14
64-85 WETHEROLE STREET,13
64-88 82 PLACE,6
640 DITMAS AVENUE,14
640 FT WASHINGTON AVENUE,20
640 HUMBOLDT STREET,7
641 CENTRAL AVENUE,13
641 DRIGGS AVENUE,20
641 EAST 9 STREET,20
642 9 AVENUE,20
642 HUMBOLDT STREET,7
642 PRESIDENT STREET,20
643 EAST 11 STREET,20
643 WEST 171 STREET,16
643A MADISON ST,20
644 20 STREET,8
644 LAFAYETTE AVENUE,19
644 LEONARD STREET,9
645 2 AVENUE,20
645 MACON STREET,20
645 OCEAN AVENUE,20
645 WEST END AVENUE,20
646 ARGYLE ROAD,9
646 NEW YORK AVENUE,20
647 EAST 14 STREET,20
648 KOSCIUSZKO STREET,20
649 9 AVENUE,20
649 ARGYLE ROAD,8
65 7 AVENUE,20
65 AINSLIE STREET,20
65 COOPER SQUARE,20
65 COOPER STREET,15
65 EAST 93 STREET,20
65 EAST 96 STREET,20
65 GELSTON AVENUE,12
65 HURON STREET,2
65 MENAHAN STREET,20
65 READE STREET,20
65 RICHARDSON STREET,18
65 SCHERMERHORN STREET,20
65 SEAMAN AVENUE,11
65 ST MARK'S PLACE,20
65 STUYVESANT AVENUE,20
65 SULLIVAN STREET,20
65 WASHINGTON STREET,8
65 WEST 107 STREET,20
65 WYCKOFF AVENUE,13
65-02 FOREST AVENUE,8
65-09 99 STREET,15
65-10 108 STREET,10
65-28 99 STREET,14
65-41 SAUNDERS STREET,13
65-44 SAUNDERS STREET,13
65-50 AUSTIN STREET,13
65-50 WETHEROLE STREET,16
65-62 SAUNDERS STREET,14
65-70 AUSTIN STREET,13
650 9 AVENUE,20
650 EAST 21 STREET,8
650 EAST 22 STREET,12
650 MARCY AVENUE,20
651 BROOKLYN AVENUE,20
651 NEW YORK AVENUE,20
652 WEST 163 STREET,11
653 KNICKERBOCKER AVENUE,20
654 BROADWAY,20
654 HUMBOLDT STREET,6
654 KOSCIUSZKO STREET,20
654 METROPOLITAN AVENUE,20
655 6 AVENUE,20
655 MAC DONOUGH STREET,16
655 QUINCY STREET,20
6555 BROADWAY,4
656 BROOKLYN AVENUE,19
656 HANCOCK STREET,20
658 9 AVENUE,20
66 9 AVENUE,20
66 BOX STREET,4
66 FRANKLIN STREET,20
66 GEORGE STREET,10
66 LEXINGTON AVENUE,20
66 PALMETTO STREET,20
66 PEARL STREET,20
66 PILLING STREET,14
66 ROCKWELL PLACE,20
66 SHARON STREET,11
66 WEST 109 STREET,20
66-01 77 PLACE,6
66-01 BURNS STREET,12
66-02 AUSTIN STREET,11
66-15 THORNTON PLACE,9
66-15 WETHEROLE STREET,12
66-19 50 AVENUE,5
66-20 108 STREET,9
66-23 AUSTIN STREET,13
66-25 ALDERTON STREET,5
66-30 52 ROAD,6
66-32 52 ROAD,6
660 BERGEN STREET,18
660 CARROLL STREET,20
660 CLASSON AVENUE,20
660 FT WASHINGTON AVENUE,20
660 RIVERSIDE DRIVE,13
660 ST MARK'S AVENUE,13
6602 10 AVENUE,15
661 LAFAYETTE AVENUE,20
662 ONDERDONK AVENUE,17
662 PARK PLACE,20
6624 10 AVENUE,15
663 47 STREET,15
663 CENTRAL AVENUE,11
663 HANCOCK STREET,20
664 JEFFERSON AVENUE,20
664 ONDERDONK AVENUE,16
664 WEST 163 STREET,10
6645 BROADWAY,4
665 WEST 160 STREET,12
666 GREENWICH STREET,18
666-682 CLASSON AVENUE,20
667 PROSPECT PLACE,20
669 HENRY STREET,14
67 2 AVENUE,20
67 8 AVENUE,20
67 CLINTON STREET,20
67 COOPER STREET,16
67 EAST 11 STREET,20
67 LIBERTY STREET,20
67 ST PAUL'S PLACE,15
67 THOMPSON STREET,20
67 WALL STREET,20
67 WEST 109 STREET,20
67-02 52 AVENUE,7
67-05 62 STREET,11
67-07 YELLOWSTONE BLVD,11
67-09 AUSTIN STREET,11
67-11 AUSTIN STREET,12
67-12 YELLOWSTONE BLVD,11
67-15 DARTMOUTH STREET,4
67-19 AUSTIN STREET,12
67-40 BOOTH STREET,13
67-69 78 STREET,4
67-72 CLYDE STREET,7
670 HALSEY STREET,20
670 WEST 193 STREET,20
6701 5 AVENUE,10
6701 COLONIAL ROAD,6
6713 19 AVENUE,12
6714 8 AVENUE,10
672 HALSEY STREET,20
6724 8 AVENUE,10
673 BERGEN STREET,20
6735 RIDGE BOULEVARD,10
675 KNICKERBOCKER AVENUE,20
675 MANHATTAN AVENUE,11
675 SACKETT STREET,20
675 WALTON AVENUE,19
676 AMSTERDAM AVENUE,20
676 GRAND STREET,20
676 RIVERSIDE DRIVE,14
677 LINCOLN PLACE,20
678 ST MARK'S AVENUE,14
679 BERGEN STREET,20
68 BRADHURST AVENUE,20
68 EAST 19 STREET,18
68 RICHARDSON STREET,20
68 SHARON STREET,10
68 VANDERBILT AVENUE,15
68-07 FRESH POND ROAD,10
68-11 53 DRIVE,9
68-15 SELFRIDGE STREET,4
68-19 BURNS STREET,10
68-29 BURNS STREET,10
68-31 60 STREET,11
68-43 BURNS STREET,10
68-51 FRESH POND ROAD,9
68-60 108 STREET,13
68-61 SELFRIDGE STREET,4
68-64 YELLOWSTONE BLVD,12
680 MANHATTAN AVENUE,12
680 MONROE STREET,20
680 PUTNAM AVENUE,20
6801 BAY PARKWAY,18
6801 COLONIAL ROAD,6
6801 FT HAMILTON PARKWAY,13
6805 OWLS HEAD COURT,3
6813 6 AVENUE,6
6815 6 AVENUE,6
682 CHAUNCEY STREET ,14
682 OCEAN AVENUE,19
683 6 AVENUE,6
684 BUSHWICK AVENUE,20
684 DE GRAW STREET,20
684 METROPOLITAN AVENUE,20
684 MYRTLE AVENUE,20
685 LORIMER STREET,18
685 WEST END AVENUE,20
686 6 AVENUE,10
686 EAST 234 STREET,6
686 LORIMER STREET,18
686 WARREN STREET,20
687 8 AVENUE,20
687 BUSHWICK AVENUE,20
687 RUTLAND ROAD,20
688 ONDERDONK AVENUE,15
688 WASHINGTON AVENUE,20
689 PARK AVENUE,20
69 BRUCKNER BOULEVARD,19
69 CEDAR STREET,20
69 EAST 118 STREET,20
69 EAST 130 STREET,20
69 HAUSMAN STREET,3
69 STOCKHOLM STREET,20
69 TEN EYCK STREET,20
69 WEST 107 STREET,20
69 WEST 118 STREET,20
69 WEST 126 STREET,20
69-10 108 STREET,14
